index,caption,rank,caption_length
258,Fistula (arrow) in ileal Crohn’s disease (9 MHz probe),218,9
259,Axial CT through the abdomen shows multiple bilateral avidly enhancing lesions in both kidneys.,55,14
260,"Caudal pelvic CT scan. CT scan of the second structure, which was localised in the pelvis and diagnosed to be a cystic ovarian neoplasm: caudal scan.",24,26
261,Fracture of his twelfth thoracic vertebra.,628,6
262,A contrast enhanced CT scan showing ectasia of the right internal jugular vein.,62,13
263,CT reveals a large tumor (arrows) in the right lobe of the liver along with an adjacent intraperitoneal hyperdense fluid collection (black asterisk).,16,23
264,Computed tomographic scan obtained 10 months after treatment.,176,8
265,T1-weighted brain magnetic resonance imaging with contrastArrows indicate areas of enhancement distant from the surgical field.,47,16
266,"(case 14) CT scan after contrast product injection, axial sequence of the posterior fossa showing empty right lateral sinus (arrow)",2,20
267,"T1-weighted +contrast sagittal MRI reveal resolution of the inflammation present before at the level of C5 and C6 vertebral bodies(white arrows). At this time of examination, C4 and C5 vertebral bodies seems to be fused, seen as a single bone structure.",2,41
268,Chest X-ray of one of the studied patients showing the cranial (upper) and caudal (lower) electrical impedance tomography belt. X-ray taken at 5 cm H2O positive end-expiratory pressure (PEEP).,1,29
269,Abdomen radiograph showing the presence of high level of air fluid in the bowel loops.,7,15
270,Cecocolon over-rotated into the pelvis.,66,5
271,"Transverse 3D T1-weighted TFE MR image with contrast enhancing cisternal segment of oculomotor nerve (III right) in comparison with nonenhancing cisternal segment of left oculomotor nerve (III left). TFE, turbo field echo; 3D, three dimensional; MR, magnetic resonance.",2,38
272,Axial image from the noncontrast pelvic CT scan demonstrating the right prostatic calcification measuring 17 × 12 mm in this section.,2,21
273,Barium swallow showing indentations on the esophagial lumen caused by anterior osteophyte formations more prominent at C5–6 and C6–7 levels.,1,20
274,Computed tomography image of chest of patient with tuberculosis after anti–hepatitis C virus therapy. A parenchymal distortion 32 mm in diameter is shown in the upper right lung with initial central excavation 10 mm in diameter. Similar lesions 8 mm in diameter without central excavation are shown in the upper left lung.,1,52
275,Abdominal CT-scan (with oral and intra-venous contrast,88,7
276,Patient 1. The X-ray of the left hip after in situ fixation.,17,12
277,Computed tomography of head. Axial CT image show low density lesions in white matter (red arrow) and high density in lateral cleft pool (blue arrow).,142,25
278,Case 2. Native image of temporary balloon occlusion within the double stents. White arrow shows balloon inflation to achieve decreasing of inflow into the pseudoaneurysm.,6,25
279,Borderline constriction in the middle/distal RCA,9,6
280,"Axial, noncontrasted CT image slightly superior to the porta hepatis obtained at 8 months. The image demonstrates a persistent, encapsulated anterior perihepatic fluid collection (Culture negative). Although the collection has decreased in size from the previous exam, the “rind” is unchanged.",46,41
281,"Computed tomography chest scan (axial section) after iodinated contrast: a liquid mass of the middle mediastinum, well-limited, heterogeneous, repressing trachea and supra-aortic trunks without invasion signs.",47,26
282,"Enlarged right ventricle and ICD electrode (arrow) with thrombi. Transthoracic echocardiogram, parasternal short axis viewRV – right ventricle, LV – left ventricle.",1,22
283,Magnetic resonance imaging. Gadolinium-enhanced axial T1 image showing a meningeal enhancement at the left parietal lobe,7,16
284,CECT thorax showing two large loculated pleural effusions communicating with each other along left anterior and left posterolateral chest wall,9,20
285,Axial CT scan at T5 revealing the presence of an incidental right-sided thoracic aorta.,5,14
286,Contrast-enhanced axial T1-weighted MRI reveals a uniformly enhancing mass in the posterior temporal lobe with focal leptomeningeal enhancement.,11,18
287,"Chest radiograph of patient no. 5, who had community-acquired pneumonia associated with Tropheryma whipplei.",7,14
288,Chronic ambulatory peritoneal dialysis catheter tip seen inside the rectal lumen,14,11
289,OPG revealing the lesion,18,4
290,"Chest X-ray showing cardiomegaly, increased pulmonary flow with a prominent main and right pulmonary artery",7,15
291,"Maximum intensity protection (MIP) images of a patient with physiological distribution of 68Ga-PSMA ligand. Accumulation is seen in lacrimal and salivary glands, nasal mucosa, liver, spleen, bowel, kidneys and bladder",2,30
292,Initial periapical radiograph of carious exposed 36 and 37 shows presence of solitary pulp stones.,10,15
293,62-year-old man with known ventricular septal defect. Ventricular septal defect shows left ventricle (LV) to right ventricle (RV) contrast shunt (arrow) without muscle wall.,2,24
294,Abdominal CT on admission: CT scan reveals a 5.3 cm × 4.5 cm right adrenal mass (arrow).,79,17
295,T1W sagittal MR image of cervical spine showing syrinx in the cord,3,12
296,"Panoramic radiograph showing a well delimited radiolucency on the right side in the posterior region of the maxilla, absence of the first molar (16) and displacement of tooth 17 and 15.",23,31
297,"4-year-old boy with angiocentric glioma. High-resolution, T2-weighted image shows that the hyperintense, expansile lesion is predominantly cortical and lies anterior to the central sulcus.",6,24
298,A 67-year-old woman referred with abdominal pain. Computerized tomogram (CT) of the abdomen with IV and oral contrast reveals a huge aneurysm (95 mm ×83 mm diameter) in the hepatic artery containing mural thrombosis in the aneurysmal sac.,111,38
299,Ultrasonography image of epipolic appendagitis showed an hyperechogenic paracolic oval-shaped mass in the left lower abdominal quadrant.,72,17
300,Fluoroscopic image of cannulation of gallbladder via the stent.,2,9
301,Computed tomography appearance of tension pneumocephalus with multiple small air bubbles in the subarachnoid space,18,15
302,The (ECHO) ultrasonic scan of the area showing a sizeable infrasonic formation with distinct boundaries.,12,15
303,Thoracic CT showing posterior tracheal rupture (Arrow).,20,7
304,Pre-reduction abdominal radiography reveals a mass-like lesion in the right upper quadrant.,36,12
305,Lateralised right middle turbinate. A coronal C.T scan of a patient admitted for revision FESS showing a lateralised right middle turbinate (arrow).,2,22
306,"panoramic radiograph of patient n°1, six months after surgery, and after the plate removal and implants insertion.",27,17
307,"Axial MRCP image showing signal void filling the lumen of the posteriorly positioned cystic duct, and causing extrinsic compression of the anterior duct (CHD)",34,24
308,Migration de la broche cubitale,28,5
309,Computed tomography (CT) scan: a high-grade distal small bowel obstruction with a transitional zone in the left lower abdomen,93,19
310,Slice from the CT abdomen showing the position of the nail in the abdomen.,24,14
311,Abdominal computed tomography showing multiple air bubble foci within the collecting system of the left kidney,7,16
312,Trans-esophageal echocardiography confirming aortic dissection of the ascending aorta.,13,9
313,The trigeminal nerve target in the Computed Tomography and T2 weighted Drive sequence Magnetic Resonance image fusion in a sample case,18,21
314,Chest CT of patient prior to treatment with mycophenolic acid showing multiple infiltrates.,10,13
315,The axial MRI with MRS voxel location of a 64 years old HCV+ patient.,91,14
316,"The neural activation in the contrast of NSI versus OSI (with a cluster-corrected threshold of p<0.05, voxels≥34) in Experiment 1.",38,20
317,Femoral guide used in the two-incision technique.,24,7
318,Anteroposterior view left shoulder. Details-pathological fracture and sequestrum seen.,35,9
319,Discography: Done by injecting radio opaque dye in the disc space,1,11
320,"CT scan showing a voluminous intraperitoneal mass 33 × 30 × 17 cm in size, occupying the most part of the abdomen, with solid and cystic parts and with peripheral contrast enhancement.",37,32
321,Chest radiograph with consolidation adjacent to the right hemi-diaphragm,7,9
322,Computed tomography showing the pigtail catheter left in the gastric wall abscess for drainage.,4,14
323,Expanded deltopectoral access.,131,3
324,Pre-operative radiograph of 75 years male patient with garden type 3 neck of femur fracture and for whom above-knee amputation was done.,11,22
325,Computed tomography scan showing the hepatic artery aneurysm.,43,8
326,Axial computed tomography images demonstrating pneumomediastinum (arrow).,26,7
327,Preoperative MRI scan.,130,3
328,Computed tomography of the chest showing liner foreign body in the right ventricle.,4,13
329,Computed tomography abdomen/pelvis with PO/intravenous contrast 7/31/2014,126,7
330,Anteroposterior radiographic view with internal rotation showing a greater tuberosity fracture (arrow).,1,12
331,"Magnetic resonance imaging, T1 sequences with gadolinium, sagittal view. Imaging after two previous resections. Note strong dorsal (C7/Th1 to Th5) and ventral (C6 to Th3/Th4) enhancement in the spinal canal. Artifacts due to laminoplasty material",8,35
332,Chest X-ray revealing infiltrates in both lung fields,9,8
333,"Proximal part of left coronary artery in B-mode, parasternal short axis view. LAD PROX – proximal part of the left anterior descending coronary artery, INTERMEDIATE – strong intermediate branch See movie 1 [see Additional file 1]",1,36
334,"Small effusion on the flexor aspect of the proximal interphalangeal joint. Fluid thickness is measured at 1.6 mm and extends out of the proximal recess (arrowheads). Compare with . PP proximal phalanx, MP middle phalanx",58,35
335,Ultrasound image recorded during the tumescent anesthesia infiltration. The arrow shows the presence of the fluid,9,16
336,An abdominal radiograph shows the tip of the guide wire originating from the hemodialysis catheter inserted in the right femoral vein.,14,21
337,24-year-old female patient (second case) preoperative radiograph of the right femur subtrochanteric stress fractures.,23,14
338,Fracture déplacée du col huméral droit,6,6
339,A panoramic X-ray of the same patient. An advanced generalised destruction of the supporting bone tissue is evident. One of the most important topics in periodontal diagnosis in the next future will be to create microfluidic chips allowing healthcare providers in poorly equipped hospitals and areas of the world.,31,49
340,"A representative T2 flair magnetic resonance image of the brain showed abnormal signal and mass effect involving the head of the left caudate with hyperintensity measuring 2.5 × 2 cm extending into the surrounding white matter and along the external and extreme capsules. The anterior aspect of the putamen is involved along with the anterior limb of the internal capsule and the superior anterior aspect of the globus pallidus. There is an area of similar mass effect and abnormal T2 signal involving the posterior superior aspect of the right caudate head, caudate tail measuring approximately 8 mm in width and approximately 1.3 mm anterior posterior.",60,105
341,Specimen radiographic appearance of the jaw eliciting the multilocular radiolucency with root resorption postero-anteriorly,1,14
342,Coronal view of the abdomen and pelvis CT demonstrating transplant kidney in the right lower quadrant and transplant kidney ureter in the femoral hernia. This image also demonstrates hydronephrosis and mesenteric stranding indicating incarceration of the transplanted kidney ureter.,18,39
343,Radiograph of a 24-year-old male patient after a cycling accident; dislocation of the AC joint (Rockwood V).,8,17
344,Post-distraction panoramic radiograph (Hemi-Wing distraction),2,5
345,Enhanced magnetic resonance imaging of head revealed bilateral cerebral and cerebellar hemispheres abnormal meningeal enhancement.,3,15
346,Chest computed tomography scan revealed osteolytic lesions in the right 7th rib with surrounding soft tissue swelling.,8,17
347,The lesion was showed in the chest x ray,3,9
348,Computed tomographic scan of the left adrenal leiomyoma measuring 4.1x2.7 cm (anterior to kidney).,13,14
349,A Transtemporal insonation of the third ventricle: landmark structures are both thalamic nuclei (N th) and the pineal gland (Gl pin); the third ventricle is located between the thalami and indicated by the two hyperechogenic lines.,100,36
350,Postoperative MRI following right orbitozygomatic craniotomy for tumor resectionAxial T1-weighted MRI with contrast showing near total resection.,3,17
351,MRI Interpretation: Large partially thrombosed 25 mm basilar artery aneurysm without evidence of rupture. There is an acute or early subacute infarct within the left posterior inferior cerebellar artery distribution. There is also a questionable small focus of acute or early subacute infarct at the left posterolateral pontomedullary junction. There is no hydrocephalus or herniation.,107,55
352,"55-year-old male with cervical spine spondylodiscitis. Lateral radiograph shows a triangular fragment of bone anterior to C3 (black arrow) with collapse of C3 on C4 and marked prevertebral soft tissue thickening.Closer review reveals irregularity of the endplates of C3 and C4 and local resorption of bone (white arrow), suggesting a more chronic process.",6,53
353,MRI brain coronal view shows diffuse meningeal enhancement.,4,8
354,"Scanner du fémur droit (coupe axiale) montrant une exostose fémorale antérieure pédiculée, en conflit avec le muscle vaste latéral et fracture",152,21
355,"Sagittal magnetic resonance imaging of the thoracolumbar spine on day 5 after the abdominal surgery and epidural anesthesia. Note the absence of canal compromise, edema or bleeding.",9,27
356,63-year-old woman with intracystic papillary carcinoma of the right breast. Right MLO view of a well circumscribed mass (arrow).,1,19
357,Magnetic resonance imaging post-treatment,135,4
358,"Marked anterior, median and posterior areas",224,6
359,Contrast media extravasation and bowel loop pooling was observed on the CT cystography taken with the patient in the prone position with undiluted contrast media.,12,25
360,Transthoracic Echocardiogram of a Patient with Tuberous Sclerosis ComplexTransthoracic echocardiogram in short axis demonstrates an echogenic mass in the midseptal region of the right ventricle (red arrow). Additional punctate echogenic foci are also identified (blue arrows). RV = right ventricle; LV = left ventricle.,13,44
361,Postoperative abdomen scan before everolimus treatment.,28,6
362,Cloverleaf skull sign.Coronal CT image of infant with thanatophoric dysplasia shows trilobular cranium that looks like cloverleaf.,7,17
363,"MCUG image (anterio-posterior view) showing a dilated posterior urethra (arrow), bladder trabeculations (*) and right vesicoureteric reflux. The dilated posterior urethra assumes a “spinning top”/ “electric bulb” appearance (arrow).",77,29
364,Periapical radiographic images immediately after root canals obturation,14,8
365,Bronchoscopic image showing submucosal growth in midtrachea with electrocautery probe in situ,29,12
366,Fulcrum bending radiograph before anterior release.,88,6
367,"2D sonogram of left kidney in midsagittal scan revealing small-sized kidney with loss of corticomedullary definition and thus making its distinction from surrounding tissue difficult in 4-year-old, spayed, female Boxer dog.",154,31
368,Chest radiograph taken after extracorporeal membrane oxygenation (ECMO) cannulation. A 10 Fr-cannula is placed in the right internal jugular vein and a 12 Fr-cannula in the right femoral vein.,57,29
369,Stenotic segment determined in the right vertebral artery distal according to the MR angiography.,1,14
370,"Undifferentiated carcinoma, sarcomatoid variant of the head of the pancreas: computed tomography scan of the abdomen shows a lesion of the head of the pancreas head with cystic and solid parts.",43,31
371,Hand magnetic resonance imageA hand magnetic resonance image demonstrating an enhancement at the distal phalangeal bone and soft tissue edema.,5,20
372,"Gastric lymphoma. Axial CT of the abdomen, showing thickening of the wall of the lesser curvature of the stomach (broad arrow), together with regional lymph node involvement (narrow arrow).",6,29
373,Chest x-ray showing multiple relatively thick-walled cystic air spaces in the left perihilar region.,18,14
374,"Non contrast brain CT scan of our patient at the time of admission. Note the bilateral hypodensities, which fit the area of the lenticular nucleus (putamen and globus pallidus) on both sides. There is also small hyperdensity at the right globus pallidus (black arrow). This prompted the physician to suspect an infectious process instead of a vascular one. Our patient had bilateral infarction of the lenticular nucleus with early hemorrhagic transformation inside the right one.",2,75
375,Image from computed tomography angiogram of the proband demonstrating cirrhosis and splenomegaly. (The red arrow indicates liver mass of proband and the white arrow indicates the spleen).,4,27
376,Axial post-operative CT scan demonstrating orbital decompression.,20,7
377,Dorsoventral angiogram of the cerebral arterial circle of a donkey. A connection is seen from the second curve of the right internal carotid artery to the caudal communicating artery (red arrow). 1 internal carotid artery; 2 caudal communicating artery; 3 external carotid artery,1,43
378,"Magnetic resonance imaging lumbosacral spine, axial section, T1-weighted image showing conus tethering at the previous surgical exploration site",69,18
379,"T2 weighted FLAIR images of magnetic resonance scan showing bilaterally symmetrical hyperintensities in Caudate nucleus (small, thin arrow), Putamen (long arrow), with sparing of Globus Pallidus (broad arrow), suggestive of Extrapontine myelinolysis.",3,32
380,"Computed tomography of the abdomen showing enlarged adrenal glands, the left gland measured 6.8 × 6.7 × 2.7 cm.",22,19
381,Enhanced T1–weighted magnetic resonance image showing a 5-cm epidural collection with adjacent osteolytic lesions in the left frontal area.,49,19
382,"Case 2: Six weeks post-operatively, with satisfactory placement of the SRA.",10,11
383,View of the laparoscopic bladder repair done in 2 layers of absorbable suture.,12,13
384,Chest X-ray showing miliary mottling.,49,5
385,Peri-apical radiograph of the mandibular left central incisor showing the inverted V-shaped talon cusp.,4,14
386,Optic coherence tomographic image of the optic nerve head: The Bruch´s membrane opening reference plane was defined as the red line between “A” and “B”. The angle between this line and the horizontal was defined as the angle of the optic disc rotation (as based on Bruch´s membrane opening plane).,3,50
387,Immediate post-operative radiograph of the left shoulder after wide resection.,1,10
388,Chest radiograph just after intubation,36,5
389,Transthoracic Apical 4 chamber view depicting abnormal cardiac anatomy,12,9
390,Lateral radiograph of elbow of 12 year old child showing missed Monteggia fracture,5,13
391,"Sagittal T2-weighted magnetic resonance image, which shows intact ACL fibers with ganglion cyst (arrow).ACL: anterior cruciate ligament",1,17
392,CT scan transverse view. A retrocaecal soft tissue mass is seen pushing the caecum anteriorly ().,52,16
393,Joint capsule thickness measurement on T2-weighted fat-suppressed oblique coronal imaging. Capsular and synovial thickness of axillary recess was measured by distance between the high signal fluid and the outer border of the capsule in perpendicular direction to the capsular configuration (arrow).,1,41
394,A high-resolution computed tomography showing a high-density foreign body in the right intermediate bronchus extending through the bronchial wall with irregular wall thickening and narrowing,3,25
395,22wk prenatal US showing pseudo double bubble.,606,7
396,Selective Coronary Angiography of the Left Coronary System Showing a Feeding Artery (Arrow) Originating From the Left Circumflex Artery Supplying the Left Atrial Mass Visualized in the Early Phase,3,29
397,Axial contrast-enhanced computerized tomography abdomen image showing edematous gallbladder wall (arrow). Note free fluid in the abdomen,8,17
398,Axial CT scan in lung window setting showing air space consolidation with air bronchogram in the right upper lobe.,5,19
399,A 73-year-old man with an arteriovenous malformation of the inferior mesenteric artery; abdominal ultrasound revealed a portal vein (white arrow) in the high limit of normality (15 mm).,18,28
400,Simple pneumocephalus,188,2
401,Complete atelectasis of the left lung caused by an intrathoracic stomach and a left-sided pneumothorax,55,15
402,"Chest radiograph showing mediastinal widening, bilateral pleural effusion (open arrows), prominent interstitial lung markings (oval), and Kerley B lines (curved arrows)",3,21
403,Arthroscopic appearance of bicompartmental bucket-handle tears (arrows).,10,7
404,Examination of the short axis of the supraspinatus tendon to measure its thickness and check the hyperechoic fibrillar pattern.,9,19
405,Abdominal X-ray showed the biofragmentable anastomosis ring fragment (arrows) on 20th postoperative day.,3,13
406,A 3.1 × 2.0 cm left pelvic mass concerning for malignancy is seen compressing the bladder and displacing the left distal ureter anteriorly.,14,23
407,Ultrasound scan showing SKATER drainage tube in pleural effusion.,3,9
408,Sigmoid diverticulitis mimicking a sigmoid cancer (white arrows) with left ureteral involvement resulting in hydronephrosis (white arrowheads),8,17
409,Left horizontal incompletely impacted third molar without lamina dura with radiolucency below the crown in a 51-year-old man.,5,18
410,Laterally inverted OPG. The “L” indicated by the arrow means left. OPG = Orthopantomographs,23,14
411,Radiograph showing lower end of humerus (periostitis) and proximal ends of radius and ulna (metaphysitis).,34,15
412,Contrast enema showed a long irregular stenotic lesion of the ascending colon.,1,12
413,Ultrasound image of a superficial encapsulated lipoma with vascularity seen along the internal septae. The local reporting radiologist referred this lesion due to the internal vascularity. MDT determined the lesion benign on the basis of imaging and clinical information.,16,39
414,"Coronal section of CT scan of abdomen, showing gastric mass near pylorus with no local invasion outside the gastric mucosa.",220,20
415,Preop CT.,250,2
416,A computerized tomography scan slice of the pelvis demonstrating a lesion in the sacral bone (asterisk) with cortical destruction and infiltration of the spinal canal.,31,25
417,X-ray in the frog position revealing subchondral lysis (Caffey's sign) in the right hip,9,14
418,Metacorpal region,243,2
419,An optimal PTG without significant distortion or errors of a patient with developing wisdom teeth,16,15
420,Axial CT slice showing no anterior or posterior displacement.,10,9
421,44-year-old female with nondisplaced medial tibial plateau fracture. Axial CT demonstrates a fracture through the medial plateau (arrow).,4,18
422,Post n-BCA Trufill glue embolization of pancreatic fistula.,166,8
423,Coronal magnetic resonance imaging demonstrated abscess in right parotid region.,19,10
424,Native image of the angiogram in anteroposterior view showing two Catch Mini devices (placed simultaneously) extending from the posterior cerebral arteries to the midbasilar segment.,7,25
425,"Magnetic resonance imaging with venography prior to discharge, demonstrating marked recanalization and improved flow signal (arrow).",1,16
426,"Transesophageal echocardiographic image recorded during delivery cable detachment. The delivery cable (arrowhead) and the end of the delivery cable (arrow) are easily visualized in the ampulla of the PDA. Ao, descending aorta; MPA, main pulmonary artery.",21,36
427,A computed tomographic scan of the abdomen shows mural thickening involving the prepyloric antrum and duodenal bulb with focal obliteration of the fat plane between the pancreas head and gastric antrum.,54,31
428,Anteroposterior view,100,2
429,Postoperative sagittal T2-weighted magnetic resonance imaging showing the reduced spinal cord with no evidence of herniation.,7,16
430,Neuroimage of the patient IPR performed early in the disease.,4,10
431,CT chest showing left pleural mass.,88,6
432,"Abdominal CT scan. Note the absence of splenomegaly and formation of collateral vessels, suggesting the low likelihood of portal hypertension. Evidence of liver cirrhosis is not clear, although there is a large volume of ascites.",21,35
433,MRI brain demonstrating Chiari II malformation with severe herniation of the cerebellar tonsils.,12,13
434,"Abdominal computed tomography showed that spleen was enlargement, uneven density. Abundant hypodensity shadow was found. The infarction area was over 80% of whole spleen.",30,24
435,Scissor-knot-pusher being pulled out as it would be to get both ends of the suture outside a trocar.,3,18
436,Follow up CT after 3 months.,123,6
437,"Postoperative head computed tomography (CT) scan of a patient who underwent surgical neck clipping for a right anterior choroidal artery aneurysm which showed atherosclerotic change in the parent artery and aneurysmal neck. He then developed neurologic deficits postoperatively. It shows a low-density lesion of the right internal carotid artery territory. Right cerebral swelling creates a mass effect, resulting in midline shifting and ipsilateral ventricle compression.",32,65
438,Radiograph of both hands. Note the prominent erosion in the left 2nd MCP.,6,13
439,Lymphoma involving both kidneys. Axial gadolinium-enhanced T1-WI demonstrates lymphomatous infiltration of the retroperitoneum with extension to perinephric space bilaterally.,7,19
440,Axial computed tomography sections at the level of orbits showing left orbital preseptal soft tissue swelling or phlegmon,1,18
441,"Abdominal CT scan obtained 5 days post-embolization shows artifact from metallic coils within the splenic artery and a nonenhancing spleen, compatible with splenic infarction (arrow). [Powerpoint Slide]",1,27
442,Metastatic lesion involving occipital bone,1,5
443,Case 1: Preoperative computed tomography coronal section showing right side parapharyngeal mass extending up to skull base.,7,17
444,"Thyroid mass at the level of the inflated endotracheal tube cuff; the cuff at this level is presumed to be stenting the tracheal airway surrounding the tube. Due to the emergent nature of the case, an extubated radiograph was unable to be obtained.",2,43
445,Apical two-chamber view showing heterogenous echogenic irregular vascular mass lesion in the endocardium with normal apical mobility.,2,17
446,59-year-old male with single ventricular lead pacemaker. PA chest radiograph discloses lead fracture and dislodgement of lead fragment into hepatic vein.,1,21
447,The cecum is at the right upper quadrant. Note staples from appendectomy.,73,12
448,Intravenous urography - five minutes film (15 November 1989) showed prompt excretion of contrast and undilated pelvicalyceal systems.,12,18
449,"LGE-CMR, two-chamber view: Diffuse patchy transmural as well as subepicardial late gadolinium enhancement",8,13
450,Magnetic Resonance (MR) demonstrated anterior meningocele,104,6
451,Angio IRM: thrombose au dépend du sinus transverse gauche,1,9
452,Postoperative panoramic radiograph after surgery. Alloplastic temporomandibular joint reconstruction combined with partial mandibulectomy was performed,15,15
453,Fetus with septad cystic hygroma and hydrops fetalis,2,8
454,MRI (lateral view. STIR) findings showing increased signal intensity lesion of the shoulder girdle muscles indicating the presence of pyomyositis around the right shoulder,20,24
455,Coronal fast-spin-echo magnetic resonance image of the left knee in a patient following a slip and fall revealed a loose body in the suprapatellar pouch of the knee consistent in shape with the tip of the tibial polyethylene post.,50,39
456,MRCP Coronal HASTE 2D. The scan shows the fusiform dilatation of the Wirsung duct at the head of the pancreas and the cystic lesion. The blue arrow indicates the lesion.,3,30
457,Coronal reformatted arterial phase contrast-enhanced multidetector CT image demonstrates multiple enteropancreatic neuroendocrine tumors (arrows) in a patient with MEN-1. These tumors and their metastases are often hypervascular. They are usually more conspicuous in the early arterial acquisition phase,9,38
458,Tubular foreign body in the trachea,85,6
459,Left cerebellum voxel localization.,18,4
460,"Coronary angiogram showing origin of right coronary artery, RV marginal, and LAD artery from right coronary cusp ostium. LAD indicates left anterior descending; RCA, right coronary artery; RV, right ventricle.",4,30
461,Abdominal computed tomography. Abdominal computed tomography revealed a heterogeneous hypodense mass of the spleen with suspected necrotic changes.,3,18
462,"Contrast-enhanced CT scan showing a complex and heterogeneous pelvic mass with inner vegetations and septations in the anatomic site of the right adnexa (max diameter 17 cm), not dissociable from uterus and contiguous bowel (asterisk: pelvic mass; arrows: vegetations and septations; u: uterus).",6,43
463,Chest X-ray suggestive of increased opacity in left lower zone,1,10
464,Butterfly or H-sign in 57-year-old woman who had received radiation therapy for cervical carcinoma with stage IIA 13 months ago. There are increased uptakes in both sacral alae (long arrow) and sacral body (short arrow) on bone scintigraphy.,1,38
465,"Computed tomography (CT) of head: axial view through the orbit.Blue arrow: tree branch in the left orbit extending into the nasal cavity, ethmoidal air cells, and right sphenoid sinus via the medial orbital wall.",42,34
466,Anterior-posterior radiograph of 11-year-old boy with a diaphyseal fracture of right femur.,2,12
467,Postoperative X-ray at one year postoperative for her right hip (two years for her left hip) showing bilateral primary total hip arthroplasty with uncemented acetabular shell and modular femoral components with radiographic union for both pertrochanteric fractures.,3,37
468,"At oropharyngeal level, a giant air collection on the left side.",5,11
469,Time of flight MRI angiography shows absence of both vertebral arteries with a persistent primitive hypoglossal artery (white arrow) arising from the left internal carotid artery (arrowhead),7,27
470,Axial T2-weighted image with fat saturation demonstrating a patellar-sided medial patellofemoral ligament tear (thin arrow) with thickening of the lateral patellofemoral retinaculum. A large osteochondral defect and bone contusion is present along the medial patella (thick arrow).,1,37
471,© Robert Weber/The New Yorker Collection/www.cartoonbank.com.,3,6
472,Posterior–anterior plain radiograph shows an ill-defined osteolytic lesion (arrow) without sclerotic margin in the medial part of left clavicle with soft-tissue swelling above the lesion.,2,25
473,"Ultrasound of patient 1. Longitudinal section of a color Doppler ultrasound shows normal testis (white arrow) in the right hemiscrotum and a 1.5cm oval mass in the right hemiscrotum (black arrow), adjacent to the upper pole of the right testis and slightly compressing the epididymis (blue arrow). This mass has the same echogenicity and normal flow as the testis nearby.",1,60
474,Left internal carotid artery stenosis (cavernous part),8,7
475,Enhanced CT revealing enlargement and cystic low-density shadow of head of pancreas.,21,12
476,"Parasternal long-axis view showing a high take-off of the RCA with a partial intramural course. Arrow: ostium of the RCA, arrow head: level where a normal RCA takes off. RCA = right coronary artery.",102,34
477,Typical image in the form of a hook or S-shaped on ascending pyelography.,22,13
478,Anterior segment spectral domain-optical coherence tomography scan demonstrating the re-migration of the dexamethasone implant int o the posterior segment,1,19
479,Anteroposterior radiograph of the pelvis on a patient with 17 years of follow-up on the right side and 16 years on the left side.,11,24
480,Control magnetic resonance imaging 2 weeks after the onset of the symptoms; fluid-attenuated inversion recovery image showing the diminution of increased signal at the medial parts of both thalami.,7,29
481,Supraglottic SCC – epiglottis. Axial contrast CT image shows a lobulated enhancing epiglottic mass filling the preepiglottic space (black asterisk),30,20
482,"Magnetic resonance image of cervical region, sagittal section.",53,8
483,Positron emission tomography (PET) CT with intensely hypermetabolic 5.2 × 3.8 cm homogeneous anterior mediastinal mass (SUV max 15.94).,6,19
484,"High density within left middle cerebral artery territory, corresponding to the site of arterial occlusion.",10,15
485,Cardiac magnetic resonance imaging cine in short-axis view cutting through the LA. Note the small flap arising from the region of the atrial septum and pointing toward the LA/IVC (black arrow). The direct junction of the IVC and the LA can be visualized.,97,43
486,A migrated coil (arrow) was seen on simple abdominal radiograph.,1,10
487,A lateral (scapular Y-view) radiograph of the left shoulder joint demonstrating the exostosis protruding into the subacromial space.,2,18
488,Computerized tomography (CT) of the orbit showing punctate calcification of the lesion and anterior globe displacement,7,16
489,43-year-old woman with protruding anal lesion diagnosed with melanoma of the rectum. Contrast-enhanced axial CT scan images of pelvis shows heterogeneous mass lesion in rectum with extension into mesorectal fat (white solid arrow).,4,33
490,Angiogram after vascular plug employment.,37,5
491,Micturating cystourethrogram (lateral view) showing grade V vesicoureteral reflux and a contrast filled tract between the urinary bladder and the umbilicus consistent with patent urachus,1,25
492,"A magnet, rein exposure.",99,4
493,"CT Scans Revealing an Osteolytic Lesion With Erosion of the Inner and Outer Skull Tables, and Expansion of the Diploic Space in the Right Temporal Area",32,26
494,"Sagittal fat-saturated T2-weighted image from a magnetic resonance arthrogram demonstrates a hypointense filling defect in the olecranon fossa, consistent with a loose body (arrow).",8,24
495,Chest X-ray showing herniated colon in the left hemithorax,6,9
496,"CT in the sagittal plane after administration of iodinated contrast medium in the neovagina shows the size, shape, location, and intestinal pattern of the walls, as well as the excellent distention. The study confirms the absence of contrast leaks in the stump.",5,42
497,Echocardiogram on day 1 of admission showing massive pericardial effusion present globally around the heart.,12,15
498,X-ray hands show evidence of osteopenia and uneven fingers.,3,9
499,Computed cranial tomography image of the patient showing a swelling at the right parietal area and a small defect of the bone.,16,22
500,"Radiographie préopératoire, montrant la destruction ostéo-cartilagineuse à gauche avec pincement globale de l‘interligne articulaire coxo-fémorale, érosion sous chondrale, déformation en forme de champignon de la tête fémorale avec ascension du grand trochanter",2,32
501,Subsequent cranial MRI showed resolution of the abnormal enhancement in the cavernous sinus area seen on the initial cranial MRI.,33,20
